,percip_mm,humidity,temp,leafwet450_min,leafwet460_min,leafwet_lwscnt,gusts_ms,wind_dir,wind_ms
2013-12-14 00:00:00,0.0,0.477073609829,11.1000003815,0.0,0.0,441.0,2.01173520088,162.0,1.70997488499
2013-12-14 00:05:00,0.0,0.477073609829,11.1000003815,0.0,0.0,441.0,1.70997488499,165.0,1.30762779713
2013-12-14 00:10:00,0.0,0.477073609829,11.1000003815,0.0,0.0,441.0,1.20704102516,159.0,1.00586760044
2013-12-14 00:15:00,0.0,0.491127997637,10.8999996185,0.0,0.0,441.0,0.905280828476,168.0,0.50293380022
2013-12-14 00:20:00,0.0,0.502130329609,10.8000001907,0.0,0.0,441.0,0.603520512581,192.0,0.201173514128
2013-12-14 00:25:00,0.0,0.505483686924,10.6999998093,0.0,0.0,441.0,0.905280828476,253.0,0.402347028255
2013-12-14 00:30:00,0.0,0.508862137794,10.6000003815,0.0,0.0,442.0,0.201173514128,273.0,0.100586757064
2013-12-14 00:35:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,1.30762779713,91.0,0.603520512581
2013-12-14 00:40:00,0.0,0.5098554492,10.8000001907,0.0,0.0,442.0,1.00586760044,101.0,0.905280828476
2013-12-14 00:45:00,0.0,0.5098554492,10.8000001907,0.0,0.0,441.0,1.10645437241,115.0,1.00586760044
2013-12-14 00:50:00,0.0,0.5098554492,10.8000001907,0.0,0.0,441.0,1.70997488499,154.0,1.30762779713
2013-12-14 00:55:00,0.0,0.5098554492,10.8000001907,0.0,0.0,441.0,1.70997488499,158.0,1.50880134106
2013-12-14 01:00:00,0.0,0.5098554492,10.8000001907,0.0,0.0,442.0,2.31349539757,158.0,1.70997488499
2013-12-14 01:05:00,0.0,0.5098554492,10.8000001907,0.0,0.0,441.0,1.81056165695,162.0,1.60938811302
2013-12-14 01:10:00,0.0,0.517580509186,10.8000001907,0.0,0.0,441.0,1.60938811302,152.0,1.50880134106
2013-12-14 01:15:00,0.0,0.517580509186,10.8000001907,0.0,0.0,442.0,1.91114830971,145.0,1.40821456909
2013-12-14 01:20:00,0.0,0.521037042141,10.6999998093,0.0,0.0,442.0,2.41408205032,156.0,1.70997488499
2013-12-14 01:25:00,0.0,0.517580509186,10.8000001907,0.0,0.0,442.0,2.21290874481,164.0,1.81056165695
2013-12-14 01:30:00,0.0,0.513260364532,10.6999998093,0.0,0.0,442.0,2.11232185364,146.0,1.81056165695
2013-12-14 01:35:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,1.81056165695,148.0,1.50880134106
2013-12-14 01:40:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,1.81056165695,153.0,1.50880134106
2013-12-14 01:45:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,1.70997488499,154.0,1.50880134106
2013-12-14 01:50:00,0.0,0.520146846771,10.5,0.0,0.0,442.0,1.60938811302,149.0,1.50880134106
2013-12-14 01:55:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,1.81056165695,153.0,1.50880134106
2013-12-14 02:00:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,2.21290874481,139.0,1.60938811302
2013-12-14 02:05:00,0.0,0.516690790653,10.6000003815,0.0,0.0,442.0,2.01173520088,145.0,1.60938811302
2013-12-14 02:10:00,0.0,0.528027892113,10.5,0.0,0.0,442.0,2.41408205032,151.0,1.60938811302
2013-12-14 02:15:00,0.0,0.528027892113,10.5,0.0,0.0,442.0,2.21290874481,147.0,1.81056165695
2013-12-14 02:20:00,0.0,0.528027892113,10.5,0.0,0.0,442.0,1.91114830971,147.0,1.60938811302
2013-12-14 02:25:00,0.0,0.528027892113,10.5,0.0,0.0,442.0,1.91114830971,150.0,1.70997488499
